URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/blood-in-stool,0.1.0,draft,,BloodInStool,Blood in Stool,"This value set includes concepts for the presence of blood in stool. Includes concepts for signs of blood in stool, including melena and hematoschezia. Excludes concepts for Blood in stool due to inflammatory bowel disease, hematoma, or neonatal/perinatal.",,
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/colonoscopy-procedure,0.1.0,draft,,ColonoscopyProcedure,Colonoscopy Procedure,"Concepts for a colonoscopy procedure intended for routine screening purposes or follow-up after an abnormal stool test.",,
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/crc-hereditary-syndrome,0.1.0,draft,,CRCHereditarySyndrome,Hereditary Syndrome Associated with Colorectal Cancer,"Includes concepts for hereditary syndromes associated with colorectal cancer",,"SCT"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/crohns-disease,0.1.0,draft,,CrohnsDisease,Crohn's Disease,"Concepts identifying conditions indicative of Crohn's Disease",,
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/ct-colonography,0.1.0,draft,,CTColonography,CT Colonography,"Concepts for computed tomographic (CT) colonography.",,
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/family-history-crc,0.1.0,draft,,FamilyHistoryCRC,Family History of colorectal cancer,"Concepts for family history of colorectal cancer.",,"SCT"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/family-history-polyps,0.1.0,draft,,FamilyHistoryPolyps,Family History of Potentially Precancerous Polyps,"Concepts for family history of polyps of colon.",,"SCT"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/fit,0.1.0,draft,,FecalImmunochemicalTest,Fecal immunochemical test (FIT),"Concepts for a fecal immunochemical test.",,"LOINC"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/flexible-sigmoidoscopy,0.1.0,draft,,FlexibleSigmoidoscopy,Flexible Sigmoidoscopy,"Concepts for a flexible sigmoidoscopy.",,
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/gFOBT,0.1.0,draft,,GuaicFecalOccultBloodTest,Guaiac fecal occult blood test (gFOBT),"Concepts for a fecal immunochemical test.",,"LOINC"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/history-crc,0.1.0,draft,,HistoryCRC,History of Colorectal Cancer,"Concepts for colorectal cancer with specific context of past history.",,"SCT"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/non-bleeding-colorectal-signs-symptoms,0.1.0,draft,,NonBleedingColorectalSignsSymptoms,Non Bleeding Colorectal Cancer Signs and Symptoms,"Concepts for non-bleeding signs and symptoms often associated with colorectal cancer. Includes diarrhea, constipation, tenesmus, abdominal pain or cramping, fatigue or weakness, unintended or unexplained weight loss, change in bowel habits or stool shape.",,
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/plan-definition-action-codes,0.1.0,draft,,PlanDefinitionActionCodes,Plan Definition Action Codes,"This value set includes action codes for Plan Definitions within this implementation guide.",,"Internal"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/plan-definition-action-reason-codes,0.1.0,draft,,PlanDefinitionActionReasonCodes,Plan Definition Action Reason Codes,"This value set includes action reason codes for Plan Definitions within this implementation guide.",,"Internal"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/potentially-precancerous-polyp-findings,0.1.0,draft,,PotentiallyPrecancerousPolypFindings,Potentially Precancerous Polyp Findings,"Concepts for potentially precancerous polyp findings.",,"SCT"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/potentially-precancerous-polyps-condition,0.1.0,draft,,PotentiallyPrecancerousPolypsCondition,Potentially Precancerous Polyp Conditions,"Concepts for potentially precancerous polyps disorders or conditions.",,"SCT"
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/sDNAFIT,0.1.0,draft,,StoolDNAFecalImmunochemicalTest,Stool DNA FIT Test,"Concepts for a stool DNA-FIT test.",,
http://cancerscreeningcds.github.io/crcsm-cds/ValueSet/ulcerative-colitis,0.1.0,draft,,UlcerativeColitis,Ulcerative Colitis,"Concepts identifying conditions indicative of ulcerative colitis.",,
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1078.879,20240425,active,"2.16.840.1.113762.1.4.1078.879",InflammatoryBowelDisease,Inflammatory bowel disease,"","ValueSet/crohns-disease,ValueSet/ulcerative-colitis",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.108.11.1145,20171219,active,"2.16.840.1.113883.3.464.1003.108.11.1145",SDNAFITTest,sDNA FIT Test,"","ValueSet/sDNAFIT","LOINC"
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.108.12.1020,20171219,active,"2.16.840.1.113883.3.464.1003.108.12.1020",Colonoscopy,Colonoscopy,"","ValueSet/colonoscopy-procedure",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.108.12.1038,20190315,active,"2.16.840.1.113883.3.464.1003.108.12.1038",CTColonography,CT Colonography,"","ValueSet/ct-colonography",
http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.198.12.1010,20171219,active,"2.16.840.1.113883.3.464.1003.198.12.1010",FlexibleSigmoidoscopy,Flexible Sigmoidoscopy,"","ValueSet/flexible-sigmoidoscopy",
